Entity,Code,Day,Delta,Week
United States,USA,2/8/21,0.01,0
United States,USA,2/22/21,0.01,2
United States,USA,3/8/21,0.01,4
United States,USA,3/22/21,0.01,6
United States,USA,4/5/21,0.05,8
United States,USA,4/19/21,0.31,10
United States,USA,5/3/21,1.23,12
United States,USA,5/17/21,2.47,14
United States,USA,5/31/21,6.83,16
United States,USA,6/14/21,24.46,18
United States,USA,6/28/21,54.29,20
United States,USA,7/12/21,81.33,22
United States,USA,7/26/21,93.33,24
United States,USA,8/9/21,97.32,26
United States,USA,8/23/21,99.08,28
United States,USA,9/6/21,99.49,30
United States,USA,9/20/21,99.06,32